FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBgn0032717	19.6511	19.526	18.6913	19.4121	19.1443	18.9172
FBgn0032715	7.21003	10.0118	8.50093	7.01817	9.79521	6.89855
FBgn0040992	897.802	973.151	1005.27	885.554	867.404	716.864
FBgn0045852	2.55638	2.86797	2.28913	2.64317	2.15124	2.66442
FBgn0032707	1.03808	0.898841	0.952824	0.702657	0.787536	0.959706
FBgn0032706	9.8029	8.50048	6.95034	5.30128	7.54533	7.33925
FBgn0025608	24.5841	26.0011	24.8088	25.7351	21.9252	24.6103
FBgn0032704	94.2111	68.5905	70.7691	82.5043	66.9911	75.2267
FBgn0032702	15.2612	12.2925	12.7903	14.2917	11.5462	12.109
FBgn0005617	10.9783	10.2257	9.72629	9.30466	10.1332	10.7261
FBgn0015553	0.573284	1.0722	0.97176	0.445399	0.926021	1.27943
FBgn0032724	8.7857	5.65324	6.23218	5.78187	6.84669	8.95566
FBgn0032728	8.83275	7.96517	7.13985	5.88729	6.31888	6.57494
FBgn0032730	1.31267	0.660976	0.655506	0.685901	0.780478	0.74587
FBgn0032732	157.604	269.159	228.212	152.13	280.162	142.458
FBgn0032734	0.351819	0.0805717	0.350799	0.246003	0.162369	0.423993
FBgn0051792	0	0	0	0.0120754	0	0
FBgn0051793	12.7403	13.5335	13.16	13.9795	12.3118	10.8269
FBgn0028569	0	0	0	0	0	0
FBgn0032740	0.420579	0.513703	0.335487	0	0.517608	0.15017
FBgn0032741	5.15779	6.58102	6.96905	3.94997	8.11272	3.74926
FBgn0002022	43.0326	33.0209	31.9858	38.1007	31.0474	38.5025
FBgn0032746	32.1072	17.149	15.1832	16.2832	14.673	15.9088
FBgn0032748	12.6166	14.6277	14.878	13.8343	15.8485	16.6373
FBgn0032749	0.0169738	0.0933068	0.178844	0.179178	0.0147819	0.0363691
FBgn0032750	2.6815	1.55572	1.46163	1.83332	2.47508	1.67564
FBgn0032751	21.4827	14.3712	16.7981	20.9509	19.9595	25.5869
FBgn0032755	0	0	0	0	0	0
FBgn0000075	0.953094	0.752664	0.767834	1.26959	1.5504	1.35155
FBgn0002036	11.921	10.6098	10.2077	9.56019	8.47414	11.5598
FBgn0010300	20.5455	34.3502	34.5971	34.9812	37.6688	39.0537
FBgn0002031	56.107	59.9544	64.9588	71.288	82.072	56.1001
FBgn0000422	53.3816	47.6722	48.0421	45.353	40.4144	37.305
FBgn0002023	2.71739	2.0068	2.02436	1.76711	1.46995	1.62728
FBgn0032754	0	0.0308631	0.0268748	0.0628212	0.217684	0.0721827
FBgn0053315	0	0	0	0	0	0
FBgn0032753	11.6656	12.0274	10.4001	9.93761	7.05172	8.33109
FBgn0032752	9.86853	14.4047	12.8469	8.19114	11.8635	10.4042
FBgn0002021	10.8255	8.83615	9.1335	8.44298	9.99223	8.95775
FBgn0032744	15.0241	13.6083	12.6241	11.2923	15.1142	11.5283
FBgn0051800	7.60603	3.74516	6.06737	5.05245	5.35316	4.78687
FBgn0001202	27.2067	26.2585	24.4224	22.4623	29.4461	30.0185
FBgn0046302	0.198931	0.939208	0.283097	0.955871	0.363979	0.844855
FBgn0032733	0	0	0	0.0321673	0	0.0739215
FBgn0032731	64.8325	40.8109	39.0414	43.636	27.3641	40.8575
FBgn0032729	29.1027	36.667	34.3738	34.262	28.1972	30.3845
FBgn0015772	40.407	35.2331	36.6118	37.3446	31.8274	39.5397
FBgn0032727	14.7554	13.188	13.14	12.5183	12.0858	11.5084
FBgn0032726	12.2085	11.0955	10.3727	10.6022	4.86274	3.39203
FBgn0032725	41.5538	34.5276	24.7665	21.8742	27.3653	29.0316
FBgn0032723	7.40183	6.08757	5.80944	4.80854	6.00952	6.14072
FBgn0010309	5.13074	5.67856	5.18517	4.30999	5.75565	4.56096
FBgn0015380	9.18598	9.32238	8.21825	6.43153	9.04413	8.2968
FBgn0032769	0	0	0	0.0500514	0	0
FBgn0032770	21.6545	24.9798	23.5431	25.4229	22.406	22.6818
FBgn0032771	0	0.101269	0	0	0	0
FBgn0032772	4.00468	3.19686	2.96628	2.88021	4.59412	4.78026
FBgn0051798	0	0	0	0	0	0
FBgn0016675	11.0458	6.59732	2.99728	1.57264	1.63779	4.13699
FBgn0032780	2.89982	2.5337	3.4725	2.35932	1.80175	2.20743
FBgn0032779	5.34885	7.11699	5.38665	5.38339	5.76451	4.77891
FBgn0032781	5.93804	5.25309	5.71105	4.14416	7.1409	7.01535
FBgn0032782	22.138	21.4405	21.8211	21.4734	21.9819	22.4774
FBgn0032783	29.9449	23.8137	25.6028	31.114	36.2717	35.327
FBgn0032775	17.5386	15.0959	14.9155	12.4695	17.0099	18.556
FBgn0032774	211.739	179.404	162.8	167.603	168.509	169.453
FBgn0032773	196.112	217.842	173.448	125.936	132.358	150.6
FBgn0024245	3.31504	2.78042	3.48574	3.13073	2.80155	2.55936
FBgn0032768	0.0473635	0	0	0	0	0
FBgn0051797	0	0.0550985	0	0	0	0
FBgn0010097	0	0	0	0	0	0
FBgn0003346	9.24038	8.06831	7.10868	9.25106	12.4669	9.90469
FBgn0032785	28.0067	21.0516	24.6965	20.1517	17.3531	21.828
FBgn0000964	6.1805	4.94852	4.9047	4.25124	5.41144	4.27203
FBgn0032788	0	0	0	0	0	0.0417081
FBgn0032791	6.46401	6.35414	6.0363	5.92831	6.79099	6.64173
FBgn0002044	23.3164	18.8337	17.4113	19.3003	16.3843	18.446
FBgn0040268	2.47118	1.85215	2.01601	1.96355	2.52719	2.49681
FBgn0032798	8.46106	9.95425	8.54396	7.44161	9.04676	8.93588
